U.S. Mix,ASCC Mix,FRCC Mix,HICC Mix,MRO Mix,NPCC Mix,RFC Mix,SERC Mix,SPP Mix,TRE Mix,WECC Mix,CA Mix,NG Power Plants,Coal Power Plants,Nuclear Power Plants,Hydro Power Plants,Solar PV Power Plant,Wind Power Plant,Geothermal,Biomass
8.53,20.83,9.17,13.88,9.99,7.36,8.52,8.38,8.85,8.5,7.77,7.77,7.99,9.91,3.88,3.78,3.78,3.78,3.78,3.78
0.426,0.704,0.565,1.074,0.73,0.295,0.506,0.482,0.591,0.485,0.414,0.414,0.486,1.001,0.013,0.021,0.043,0.013,0.037,0.052
